pergunta,resposta,intent
"liguei e ninguem atende, como remarco?","A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
recebi um sms pra confirmar mas quero mudar a data,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
posso escolher o dia pra reagendar?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
queria um horario mais cedo,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
O que acontece se eu faltar à consulta?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
Posso remarcar se não compareci?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
Meu nome fica bloqueado se eu faltar?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
quais as consequencias de faltar?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
faltei e agora,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
se eu nao for sou desconvocado?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
como faço pra justificar minha falta?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
"tive uma emergencia e faltei, perco a vaga?","Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
meu nome vai pro final da fila se eu faltar?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
preciso de atestado pra justificar?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
o posto de saude disse que se eu faltar perco o tratamento,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
até quando posso avisar que vou faltar sem dar problema?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
posso cancelar no mesmo dia?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
se eu faltar no exame de sangue posso ir no dia seguinte?,"Se você faltar sem avisar, pode ter o agendamento cancelado ou restrições para reagendar, especialmente em casos de faltas repetidas. Alguns institutos bloqueiam reagendamentos quando há duas ausências consecutivas. Dependendo do caso, pode ser necessário conseguir um novo encaminhamento na sua Unidade Básica de Saúde (UBS). Sempre que não puder comparecer, informe o quanto antes para evitar problemas na continuidade do tratamento.",absenteismo_consequencias
Não sei usar o celular para confirmar.,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
Posso pedir ajuda para confirmar presença?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
Existe outra forma de confirmar sem celular?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
o aplicativo nao funciona no meu celular,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
como confirmar sem ser pelo app,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
sou idoso e nao consigo mexer nisso,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
ajuda com o portal do paciente,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
esqueci a senha do portal,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
meu cpf ta dando erro no app,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
onde eu baixo o aplicativo oficial?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
o site nao carrega no meu 3g,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
precisa de internet pra usar o app?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
meu neto pode confirmar pra mim?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
posso confirmar por email?,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
o link que mandaram por sms nao abre,"O Portal do Paciente HC (site ou aplicativo) permite consultar agendamentos, visualizar resultados e, em alguns casos, reagendar consultas. Se tiver dificuldades com a tecnologia, utilize o telefone que aparece no seu comprovante de agendamento ou encaminhamento. Cada instituto do HC pode ter um número de contato específico.",tecnologia_ajuda
Quais documentos levar na consulta?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
Preciso levar identidade no exame?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
Aceitam carteira de trabalho como documento?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
Posso apresentar documento digital?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
o q precisa levar no dia?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
tem q levar o cartao amarelo do hc?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
precisa do encaminhamento do posto?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
"meu rg é muito antigo, serve?","No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
perdi meu rg posso levar cnh?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
"e pra criança, o que leva de documento?","No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
precisa levar comprovante de endereço?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
"meu cartao do sus é de outra cidade, tem problema?","No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
o cartao amarelo é o mesmo que o cartao sus?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
preciso levar os exames antigos que eu tenho?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
xerox do documento serve ou tem que ser original?,"No dia da sua consulta, leve: 1) Documento oficial com foto (RG ou CNH); 2) Cartão do SUS (Cartão Nacional de Saúde), se tiver; 3) Encaminhamento médico (se for sua primeira consulta na especialidade); e 4) Se já possuir, o cartão do HC (cartão institucional). Em alguns institutos podem existir exigências adicionais, por isso é bom confirmar no seu comprovante de agendamento.",documentos_obrigatorios
Como acessar meus resultados de exames?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
Recebo resultado pelo aplicativo?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
Quanto tempo demora para sair o resultado?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
Posso retirar o resultado impresso no hospital?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
cade o resultado do meu exame de sangue,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
ver resultado online,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
o resultado sai na hora?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
o médico consegue ver o resultado direto no sistema?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
outra pessoa pode retirar meu resultado?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
o que precisa pra um amigo pegar meu exame?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
o resultado do exame vai pro posto de saude automatico?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
como imprime o resultado do site?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
o resultado vem com laudo?,"Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
"perdi o protocolo pra retirar o exame, e agora?","Você pode acessar seus resultados de duas formas: 1) Online: pelo Portal do Paciente HC, usando CPF e data de nascimento; 2) Presencialmente: no guichê do instituto onde fez o exame, levando documento com foto e, se necessário, o protocolo do exame. Confira os horários de funcionamento do guichê antes de ir.",resultados_exames
onde fica o hospital das clinicas?,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
qual o endereço do hc?,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
como chegar no incor?,"O Hospital das Clínicas da FMUSP tem diversos institutos. O endereço principal é: Av. Dr. Enéas de Carvalho Aguiar, 255 – Cerqueira César, São Paulo (próximo à estação Clínicas do Metrô – Linha 2 Verde). Alguns institutos importantes: InCor (cardiologia) fica na mesma avenida, nº 44; Instituto da Criança (ICr) fica ao lado do prédio principal; Instituto Central (PAMB) é o maior prédio do complexo. Sempre confira o endereço no seu comprovante de agendamento ou no Portal do Paciente HC para ter certeza do local correto.",localizacao_hc
